"RBP","AS_Site","Contribution","Direction"
"MKRN1","chr4_75648741_75653982",45772.9902046694,"-"
"G3BP2","chr4_75648741_75653982",16712.668570198,"-"
"TEP1","chr17_75320550_75321658",13372.100173466,"-"
"SETD1A","chr4_75648741_75653982",11388.3364922798,"-"
"U2AF1L4","chr19_1599560_1602330",9049.62984595398,"-"
"LARP7","chr4_75648741_75653982",9047.16164077221,"-"
"DKC1","chr4_75648741_75653982",9025.0043787729,"-"
"RAVER2","chr6_143335119_143339638",8629.92454354182,"-"
"EIF2S1","chr4_75648741_75653982",8224.14605846516,"-"
"ANKHD1","chr17_75320550_75321658",7559.42931254835,"-"
"CPEB4","chr11_5226799_5227200",7444.97669302552,"-"
"DGKQ","chr19_29942664_29942822",7056.14558690741,"-"
"THUMPD2","chr2_46591925_46592474",6982.98524199753,"-"
"MBNL3","chr1_224365991_224370897",6900.12635320527,"-"
"TUT1","chr4_75648741_75653982",6456.27455690349,"-"
"KHSRP","chr19_44800274_44800380",6359.4244530494,"-"
"ENOX2","chr12_53295639_53296453",6303.20304469762,"-"
"SYNJ1","chr8_100705673_100709132",6287.92940078745,"-"
"CCAR1","chr7_148829848_148846469",6010.02786574595,"-"
"SNRPD1","chr12_53295639_53296453",5964.88041447151,"-"
"U2AF2","chr17_75320550_75321658",5723.62314206125,"-"
"RBMX2","chr12_53295639_53296453",5700.52145666116,"-"
"DGKQ","chr5_139600435_139623367",5573.75717985288,"-"
"MBNL3","chr6_143335119_143339638",5459.70421300565,"-"
"PNPT1","chr5_139600435_139623367",5428.26583937046,"-"
"LSM11","chr6_136383781_136388392",5369.77352172542,"+"
"PABPC1","chr4_75648741_75653982",5141.55719873897,"-"
"PPRC1","chr17_75320550_75321658",4613.37008910998,"-"
"PRR3","chr4_75648741_75653982",4608.94958937424,"-"
"PCBP4","chr2_231710584_231711347",4249.49228870758,"-"
"CPEB2","chr17_77190952_77191213",4134.54551176751,"-"
"RC3H2","chr6_143335119_143339638",4113.21005489579,"-"
"L3MBTL3","chr13_75530266_75537580",4094.79610303027,"-"
"RBM8A","chr1_145925927_145926040",4065.73670755776,"+"
"SNRPG","chr12_53295639_53296453",4054.46167075087,"-"
"UNKL","chr16_4848210_4857989",3987.66306020272,"-"
"U2AF2","chr12_53295639_53296453",3984.19825748297,"-"
"RBM27","chr5_139600435_139623367",3967.7085700348,"-"
"RBM45","chr1_1402256_1405802",3901.87330942861,"-"
"LSM1","chr17_58720812_58732483",3841.91983240622,"-"
"ZC3H3","chr10_12172866_12177792",3779.49081653061,"-"
"LSM11","chr16_4848210_4857989",3776.29010342614,"-"
"RBM27","chr10_29617576_29657968",3772.75467096142,"-"
"EIF3G","chr13_19674984_19677723",3702.78817184804,"+"
"PPIL4","chr1_203861713_203862189",3681.58794569872,"-"
"UHMK1","chr19_1599560_1602330",3586.18968847579,"-"
"PPARGC1B","chr10_38034400_38054374",3571.99646353479,"+"
"RBM4B","chr6_2837999_2840418",3528.11591903756,"-"
"MBNL2","chr8_100705673_100709132",3517.68578742573,"-"
"ENOX2","chr14_22565137_22588946",3506.01911833827,"-"
"U2AF1L4","chr2_46591925_46592474",3490.95892841678,"-"
"ZC3H12C","chr11_532522_532651",3490.82602995818,"-"
"PCBP2","chr1_53923947_53930038",3424.30964388628,"-"
"SNRPN","chr5_139600435_139623367",3362.90990226722,"-"
"TRMT2A","chr2_175179135_175180097",3349.00974429219,"-"
"MCM3AP","chr1_224365991_224370897",3336.20878255453,"-"
"YTHDF3","chr12_53295639_53296453",3328.13641820185,"-"
"LSM5","chr7_32487757_32488624",3314.32877921597,"+"
"SLBP","chr6_143335119_143339638",3307.00676822342,"-"
"SNRNP35","chr19_29942664_29942822",3295.48025375159,"-"
"RBM25","chr4_75648741_75653982",3257.08107592541,"-"
"SRBD1","chr4_75648741_75653982",3188.441595869,"-"
"LSM10","chr5_139600435_139623367",3166.88255399043,"-"
"KHDRBS3","chr12_4543911_4548091",3161.0659725134,"-"
"SNRPF","chr7_44834562_44835642",3149.45570910399,"-"
"TRA2A","chr13_75530266_75537580",3120.41734643778,"-"
"DAZAP1","chr4_75648741_75653982",3102.47194787258,"-"
"MCM3AP","chr2_46591925_46592474",3078.60970523502,"-"
