"RBP","AS_Site","Contribution","Direction"
"Ankrd17","chr10_117278721_117280640",3504.01468646094,"+"
"Ankrd17","chr10_117278187_117278642",3495.50514715666,"+"
"Ankrd17","chr4_118428215_118430495",3355.22762060889,"-"
"Trnau1ap","chr11_100204328_100257742",3066.05132870469,"+"
"Ankrd17","chr6_72305119_72305627",3056.91789227993,"+"
"Ankrd17","chr6_72310795_72312352",2975.47087239074,"+"
"Ankrd17","chr6_72305934_72306810",2970.0241345703,"+"
"Srrm1","chr4_134913195_134914888",2917.74890918402,"+"
"Ankrd17","chr11_120730321_120730423",2901.91289400537,"+"
"Ankrd17","chr11_120731103_120731920",2808.33705090949,"+"
"Ankrd17","chr3_106115368_106121637",2799.68776402621,"+"
"Ankrd17","chr11_120730660_120730744",2774.76876136777,"+"
"Ankrd17","chr6_72312433_72312869",2734.95967409845,"+"
"Ankrd17","chr11_120730032_120730256",2731.48300286521,"+"
"Ankrd17","chr11_120730523_120730617",2698.65530757725,"+"
"Ankrd17","chr11_120730523_120730617",2669.33692860022,"+"
"Ankrd17","chr11_120729825_120729914",2656.19385203533,"+"
"Igf2bp3","chr6_49075264_49082844",2560.45855908299,"+"
"Ankrd17","chr10_117278721_117278910",2497.3481598181,"-"
"Ankrd17","chr6_72309940_72310634",2465.84606801525,"+"
"Ankrd17","chr5_90793387_90797942",2450.66386940083,"-"
"Ankrd17","chr2_155751464_155753344",2437.24204961168,"+"
"Ankrd17","chr10_117291193_117292702",2422.48357664617,"+"
"Ankrd17","chr2_35045354_35045869",2417.12699814826,"+"
"Ankrd17","chr10_117280805_117282172",2412.39279230766,"-"
"Ankrd17","chr6_72312947_72313973",2346.39622163364,"+"
"Ankrd17","chr11_120730523_120730626",2270.14936903883,"-"
"Ankrd17","chr6_86790962_86793508",2255.85083691103,"-"
"Zfml","chr11_78536576_78538833",2225.44954827136,"-"
"Ankrd17","chr14_70521097_70521316",2223.96257457457,"-"
"Ankrd17","chr4_118428913_118430495",2174.64590760842,"-"
"Ankrd17","chr6_72307243_72309755",2160.00957707896,"+"
"Ankrd17","chr14_70522773_70523116",2116.92986130039,"-"
"Ankrd17","chr16_19704148_19706215",2082.77664699553,"-"
"Ankrd17","chr14_70521897_70522153",2072.90567134673,"-"
"Phc3","chr11_100204328_100257742",2063.08730388012,"+"
"Syncrip","chr2_75639049_75639125",2055.87138453929,"+"
"Ankrd17","chr14_41133715_41134076",2045.14714396915,"-"
"Ankrd17","chr11_62552421_62552877",2026.14362384463,"+"
"Ankrd17","chr16_19701382_19704055",2025.09280360357,"-"
"Larp1b","chr3_135438698_135439643",1996.44202116931,"+"
"Ankrd17","chr14_70522773_70524314",1991.34581141686,"-"
"Ankrd17","chr14_70521915_70522614",1975.2292253503,"-"
"Ankrd17","chr5_90794628_90797942",1974.55622212223,"-"
"Spen","chr16_5008069_5008205",1972.32357413968,"-"
"Ankrd17","chr6_51462055_51463410",1963.45690192488,"+"
"Ankrd17","chr14_70522773_70532039",1963.34148244237,"-"
"Tia1","chr14_19418649_19418766",1961.73422349755,"-"
"Syncrip","chr15_75047469_75048784",1945.66776423947,"-"
"Ankrd17","chr2_130686289_130686883",1900.89060573266,"+"
"Tia1","chr9_67031514_67032793",1892.99216949612,"-"
"Phc3","chr15_75896919_75900690",1889.93995592259,"-"
"Phc3","chr6_83795374_83796906",1877.98673713519,"-"
"Ankrd17","chr14_41177043_41177292",1873.53156373661,"-"
"Rc3h1","chr13_33014017_33202676",1872.90703343361,"-"
"Hnrnph1","chr14_19418182_19418533",1870.32709319602,"-"
"Ankrd17","chr9_67048249_67049018",1864.27590493396,"-"
"Ankrd17","chr16_19655520_19699612",1845.67585273558,"-"
"Phc3","chr2_10056161_10058995",1844.22493763657,"-"
"Snrpd2","chr19_20376545_20376651",1842.03485042738,"-"
"Ppfibp2","chr10_79860194_79860823",1837.56664058512,"-"
"Ankrd17","chr14_41132602_41133637",1834.58053351868,"-"
"Rbm6","chr8_11497740_11502621",1833.68777172529,"-"
"Ankrd17","chr12_84760892_84765276",1833.34641081787,"+"
"Syncrip","chr2_75639011_75639125",1827.08317265934,"-"
"Ppp1r9a","chr19_46332698_46338312",1821.44671871601,"+"
"Ankrd17","chr14_70521472_70521800",1815.07254755895,"-"
"Samhd1","chr12_56491058_56491288",1797.37459455413,"-"
"Thumpd1","chr3_95318953_95320061",1792.95323170481,"-"
"Ankrd17","chr14_70521485_70521804",1791.11323706364,"-"
"Ankrd17","chr14_70521915_70522614",1789.65785732342,"-"
"Syncrip","chr1_71602497_71604969",1786.07869028917,"+"
"Rc3h1","chr13_33014017_33015446",1779.02054486126,"+"
"Zc3h12a","chr12_112645084_112647824",1777.08213848881,"-"
"Ankrd17","chr14_41132248_41132514",1773.22707210821,"-"
"2610020H08Rik","chr11_96929509_96934514",1770.93439554574,"+"
"Nab2","chr15_51790113_51797612",1766.92803049825,"-"
"Syncrip","chr13_38211141_38216324",1766.8918365871,"+"
"Ankrd17","chr16_19655520_19699612",1765.32885406683,"-"
"Zc3h12a","chr16_36772141_36774541",1763.96317864944,"+"
"Uhmk1","chr12_83639191_83642628",1758.32271939717,"+"
"Ankrd17","chr16_45400303_45408855",1749.18057376215,"+"
"Hnrnpr","chr16_96373147_96378084",1746.08669372813,"-"
"Ankrd17","chr2_164404561_164405753",1742.0574423071,"+"
"Ankrd17","chr16_48842943_48843552",1732.83675231852,"+"
"Syncrip","chr7_79143050_79145246",1731.94648061843,"-"
"Snrpd2","chr6_65597454_65599812",1727.71698876519,"+"
"Tia1","chr18_36507604_36515086",1699.82186237913,"-"
"Ppp1r9a","chr6_5048429_5057457",1699.02766559482,"+"
"Ppfia4","chr17_34000063_34000193",1696.55931867646,"-"
"Rod1","chr15_75047464_75048441",1693.02434299201,"-"
"Ankrd17","chr15_4727317_4731639",1690.15258636064,"+"
"Ankrd17","chr19_55743197_55817763",1684.68090227321,"-"
"Spen","chr19_4058841_4059423",1672.2984169568,"-"
"Ppfibp2","chr11_100204328_100257742",1667.67961192315,"+"
"Ankrd17","chr1_71612650_71615359",1667.51127145598,"+"
"Ankrd17","chr14_74732388_74735959",1663.44332025053,"+"
"Ppfibp1","chr8_78820085_78821047",1662.11033239378,"-"
"Spen","chr16_5021430_5026507",1657.49373665215,"+"
"Ankrd17","chr15_78928049_78929632",1651.39943403604,"+"
"Ankrd17","chr13_30226465_30231963",1648.49164537877,"+"
"Zc3h4","chr13_74754370_74770545",1648.38897782602,"+"
"Nab2","chr1_131750415_131750579",1648.11606605365,"+"
"Ankrd17","chr17_24352251_24360887",1638.74898799134,"-"
"Hnrnpr","chr6_127938655_127939093",1637.30225873771,"-"
"Zc3h12a","chr15_75896919_75901131",1635.46072925429,"-"
"2610020H08Rik","chr7_25465520_25466316",1635.10328252086,"-"
"Ankrd17","chr7_30962244_30965968",1635.00264359386,"+"
"Igf2bp3","chr8_12859479_12864919",1631.98751838957,"+"
"Elavl1","chr14_31000760_31000843",1631.45535651726,"-"
"Lemd3","chr1_71602497_71604969",1630.69300800517,"-"
"Nab2","chr10_93887098_93889537",1629.45695344183,"-"
"Epha7","chr15_75048524_75111939",1628.180420773,"+"
"Syncrip","chr16_10285584_10288054",1623.14955390794,"-"
"Epha7","chr18_25496302_25497464",1621.66026421118,"+"
"Uhmk1","chr2_60759806_60762052",1620.27429289013,"+"
"Ankrd17","chr10_117278187_117280640",1618.86600499571,"-"
"Snrpd2","chr7_19721506_19730037",1616.62990869376,"+"
"Srrm1","chr5_125386214_125386898",1613.84321103444,"-"
"Rbm6","chr14_19418182_19419000",1613.73560352668,"-"
"Ppp1r9a","chr17_45687073_45695481",1610.48264820728,"+"
"Sfpq","chr9_123070618_123080350",1608.88084944197,"-"
"Sf3a1","chr15_101260839_101270082",1607.56311400397,"-"
"Ankrd17","chr14_70521915_70522032",1604.32351270063,"-"
"Snrpd2","chr11_80391992_80393083",1599.85580744715,"-"
"Ephb2","chr3_65955276_65956852",1594.49671569772,"+"
"Rbm6","chr15_83310384_83313468",1589.76194213524,"+"
"Epha7","chr9_89215470_89239841",1588.14937419518,"+"
"Setd1b","chr8_78813080_78821047",1585.2055623433,"-"
"Samhd1","chr4_116069919_116070736",1582.65096944862,"-"
"Tia1","chr6_113459026_113462278",1580.79640486262,"+"
"Setd1b","chr10_127063759_127064584",1579.32163366047,"-"
"Syncrip","chr6_48842401_48843784",1579.10092013003,"-"
"Srrm1","chr4_138221723_138222088",1575.97151705772,"-"
"Syncrip","chr1_71603929_71604969",1571.66849777644,"-"
"Ankrd17","chr14_41132105_41132215",1568.32692011301,"-"
"Epha7","chr11_116534173_116534848",1562.76470005454,"+"
"Ephb2","chr9_67031514_67032793",1562.06027477573,"+"
"Ankrd17","chr7_25472073_25476343",1561.42770516048,"-"
"Ankrd17","chr1_134182920_134183496",1560.96440396243,"-"
"Hnrnph3","chr11_80391992_80394285",1554.95937351024,"-"
"Ephb2","chr16_21795975_21806970",1552.66645754888,"+"
"Ankrd17","chr17_12916629_12918042",1547.72847304212,"-"
"Igf2bp3","chr7_144932837_144934015",1540.3636280461,"-"
"Stim1","chr13_58180905_58183181",1537.05870865642,"+"
"Ppfibp2","chr15_74980131_74981885",1535.08395654275,"+"
"Ppfibp2","chr13_114818323_114819335",1533.05811483365,"+"
"Ankrd17","chr14_70521915_70522169",1532.64091578476,"-"
"G3bp2","chr7_46908991_46910744",1531.24723564847,"+"
"Ankrd17","chr1_71597747_71598373",1530.85454566897,"+"
"Zc3h6","chr1_93153273_93155978",1529.4628889621,"-"
"Syncrip","chr17_57063675_57065089",1527.31045621708,"-"
"Mkrn1","chr5_96830488_96845500",1527.2765537769,"-"
"Ankrd17","chr10_3366969_3405684",1525.81444142415,"-"
"Ankrd17","chr13_73511001_73511299",1520.6553866244,"+"
"Raver1","chr19_44550220_44552697",1518.44935572738,"+"
"Tia1","chr15_74670319_74670564",1514.25361716565,"+"
"Ppfia4","chr1_71603929_71604969",1513.91214841918,"-"
"Ankrd17","chr14_70531270_70532067",1510.37120425132,"+"
"Ankrd17","chr14_70522391_70522614",1505.80515505282,"-"
"Sfpq","chr13_4191310_4194033",1504.43386006735,"-"
"Sfpq","chr10_75797270_75798384",1504.28699258293,"-"
"Ankrd17","chr13_30202420_30219635",1502.42746176985,"+"
"Ankrd17","chr14_41132248_41132437",1501.01823506669,"-"
"Ankrd17","chr10_88344711_88345027",1500.64550831864,"-"
"Ankrd17","chr11_78538738_78538833",1497.66625268923,"-"
"Ppfibp2","chr10_13514874_13515116",1496.38213977958,"+"
"Ankrd17","chr14_51101489_51104806",1493.56214821265,"-"
"Ppp1r9a","chr15_75929049_75929718",1493.28452930359,"+"
"Samhd1","chr9_48494387_48495154",1491.40032252624,"+"
"Ankrd17","chr10_88347467_88356791",1489.74159746269,"-"
"Ankrd17","chr12_109544742_109546429",1488.62531770554,"-"
"Ppfibp2","chr15_74996568_75048441",1482.11876233575,"+"
"Ankrd17","chr17_27556749_27559532",1478.85353275471,"+"
"U2af2","chr17_56721127_56721984",1478.10086507859,"-"
"Pum1","chr6_48836337_48840995",1476.64771618719,"-"
"Ankrd17","chr14_41132629_41133637",1472.15566868073,"-"
"Ankrd17","chr17_23679821_23681047",1471.91120492333,"+"
"Spen","chr2_71212074_71214438",1467.81203023794,"+"
"Spen","chr10_91119706_91122206",1466.79395635171,"-"
"Rod1","chr15_76194812_76197979",1465.86449003997,"+"
"2610020H08Rik","chr7_25463900_25471797",1464.79010967693,"-"
"Ankrd17","chr4_118430555_118431062",1463.72146061252,"-"
"Ankrd17","chr5_135670116_135715871",1461.17006775849,"+"
"Syncrip","chr17_35380173_35380360",1460.28623192805,"+"
"Ankrd17","chr14_41132629_41133637",1458.72495229753,"-"
"Lin28b","chr2_35182568_35183392",1456.82376156765,"+"
"Hnrnph1","chr17_35428382_35428999",1456.75537794429,"-"
"Hnrnph1","chr19_55910669_55912558",1455.87015375195,"-"
"Ankrd17","chr10_3366969_3423493",1455.56589417035,"+"
"Hnrnpr","chr1_93153273_93155978",1455.16384090325,"+"
"Ankrd17","chr2_3713636_3772795",1454.4320091805,"+"
"Snrpd2","chr11_70235468_70236023",1454.336019732,"+"
"Ankrd17","chr13_74704205_74713645",1452.95545197145,"+"
"Raly","chr7_105750438_105751589",1450.20295265926,"-"
"Uhmk1","chr11_114668609_114668780",1449.95786256486,"-"
"Syncrip","chr1_135257226_135257614",1449.78384267723,"-"
"Stim1","chr8_106658016_106658190",1448.82657752085,"-"
"Zc3h4","chr11_5524384_5524751",1446.71468336122,"-"
"Ppfibp1","chr9_21027678_21027770",1446.25563900343,"-"
"Ireb2","chr15_74983072_74983342",1445.65174105365,"-"
"Tia1","chr16_19655520_19699612",1444.75362980876,"-"
"Ppfibp1","chr11_54125816_54126237",1443.80803398741,"+"
"Trnau1ap","chr12_56491058_56503462",1443.68811524457,"-"
"Sfpq","chr11_115989019_115989718",1441.44101757549,"+"
"Phc3","chr14_19418649_19418766",1439.65032163179,"+"
"Lin28b","chr14_19418182_19419000",1438.08399197326,"+"
"Setd1b","chr16_4932298_4934194",1437.65997045594,"+"
"Snrpd2","chr15_75048539_75111939",1435.46961706522,"-"
"Wdsub1","chr1_165461511_165478220",1432.71959229463,"-"
"Zc3h6","chr11_87738273_87742795",1432.45117484202,"+"
"Epha7","chr11_4702220_4703903",1431.50926841593,"+"
"Ankrd17","chr10_75181731_75182210",1430.58025311879,"-"
"Ppp1r9a","chr6_5077615_5100431",1430.49185614451,"+"
"Zc3h4","chr14_54235713_54242709",1428.94598572218,"-"
"Ppfibp1","chr15_81466450_81468154",1428.5693559659,"-"
"Phc3","chr12_109543849_109544026",1426.26901213505,"-"
"Rc3h1","chr11_49663715_49664369",1424.42994986773,"+"
"Ankrd17","chr2_126604375_126606359",1423.01930729301,"+"
"Syncrip","chr14_56083487_56083802",1422.17931273799,"+"
"Rod1","chr10_79709044_79709670",1419.44366077106,"-"
"Ankrd17","chr13_55507123_55507329",1417.74438154368,"+"
"Ankrd17","chr10_117280805_117281423",1417.08418627179,"-"
"Ankrd17","chr2_164410397_164410779",1414.24345189653,"+"
"Tia1","chr13_52898736_52919000",1413.66594400519,"+"
"Ankrd17","chr13_30195787_30202324",1412.35357963029,"+"
"Uhmk1","chr15_75045840_75047352",1412.20801642835,"+"
"Rod1","chr8_105468855_105471279",1411.63731893231,"-"
"Syncrip","chr19_56306883_56308836",1411.00423577924,"+"
"Hnrnph1","chr12_17288180_17291428",1410.59050125753,"+"
"Epha4","chr15_99592826_99594134",1409.04940483776,"-"
"Tia1","chr10_76208673_76209337",1407.61306216709,"+"
"G3bp2","chr17_28329280_28329373",1406.51918017142,"+"
"Ankrd17","chr2_128372427_128429093",1406.00192168688,"+"
"Ppfibp2","chr12_30904983_30905068",1403.571698749,"-"
"Epha4","chr15_99592826_99594134",1402.6502644513,"-"
"Ankrd17","chr12_84757212_84760719",1401.62620367235,"+"
"G3bp2","chr14_51101791_51104806",1401.13531355935,"-"
"Ankrd17","chr14_41169740_41174476",1400.87214448096,"-"
"2610020H08Rik","chr5_3951734_3954791",1398.73030446852,"+"
"2610020H08Rik","chr5_114369027_114370058",1398.18167250293,"-"
"Syncrip","chr2_126604375_126606359",1395.08403658756,"+"
"Sfpq","chr3_60595764_60603693",1392.61598373222,"-"
"Ankrd17","chr11_78536576_78538509",1389.85082480035,"-"
"Ireb2","chr3_60596829_60603693",1388.880660339,"+"
"Hnrnpd","chr12_80949604_80949716",1388.58227469086,"+"
"Ankrd17","chr13_33931646_33935568",1387.99759634351,"-"
"Ppfia4","chr9_123070618_123080350",1383.47401872158,"+"
"Tmem63a","chr12_87157944_87159639",1382.93172357343,"-"
"Syncrip","chr14_56083950_56085132",1382.88348583618,"+"
"Ppfia4","chr15_74980018_74981885",1382.82711075008,"-"
"Wdsub1","chr14_52084391_52103888",1381.66637768937,"+"
"Epha4","chr12_56504371_56506119",1381.4587748992,"+"
"Rbm19","chr8_105990910_105991647",1379.5222050897,"-"
"Sfpq","chr1_82747142_82750519",1377.9262044239,"-"
"Ankrd17","chr3_95736221_95736471",1376.40319300505,"+"
"Syncrip","chr5_137296092_137296217",1375.58296773726,"+"
"Epha7","chr2_130696755_130697358",1374.0547247631,"+"
"Uhmk1","chr5_114369030_114370058",1373.94044786167,"+"
"Ppfibp1","chr6_6558491_6578478",1371.27275977123,"-"
"Rod1","chr2_145911763_145912392",1369.7008426205,"+"
"Snrpd2","chr19_20384579_20384692",1368.24902139125,"-"
"Stim1","chr14_47373952_47379522",1367.87007160162,"+"
"Sfpq","chr15_74983072_74983330",1367.59295837959,"+"
"Ankrd17","chr8_124695752_124709902",1366.75507997804,"+"
"Rbm6","chr12_112645084_112646837",1365.92234382317,"-"
"Ankrd17","chr9_108307076_108315307",1365.72305466913,"-"
"Hnrnph1","chr15_101271865_101272076",1365.31894931112,"-"
"Ankrd17","chr2_119596511_119599587",1362.72338539701,"+"
"Spen","chr11_69838573_69838919",1360.9118798974,"-"
"Wdsub1","chr16_84831507_84833819",1360.64713282992,"+"
"Ankrd17","chr14_51096473_51101385",1358.9719239212,"-"
"Zc3h4","chr10_58323687_58399020",1355.9034390598,"+"
"Ephb2","chr8_70509634_70510337",1354.42923859134,"-"
"2610020H08Rik","chr16_84831507_84834941",1353.23884081217,"-"
"Uhmk1","chr15_75045610_75047352",1351.98995054116,"-"
"Phc3","chr5_136258040_136314306",1351.96666050973,"+"
"Zc3h12a","chr11_62552421_62552877",1351.76429406517,"+"
"Hnrnpd","chr11_54126297_54129047",1351.67207780197,"+"
"Syncrip","chr10_88325426_88340519",1351.39383596818,"-"
"Setd1b","chr2_174334284_174341652",1351.3643031362,"-"
"Mkrn1","chr1_193302030_193303487",1347.60464859041,"+"
"Ankrd17","chr14_41174560_41175347",1347.40468152722,"-"
"Zc3h6","chr12_80947865_80949094",1346.61100007268,"+"
"Setd1b","chr14_46084173_46084629",1346.06040717778,"+"
"Ppfia4","chr11_70235800_70236023",1345.89532633396,"+"
"Ascc1","chr17_34600503_34600706",1344.73717544398,"-"
"Uhmk1","chr11_70458145_70458744",1342.28466425774,"-"
"G3bp2","chr3_153909598_153910260",1341.41732622138,"+"
"Mkrn1","chr15_76246900_76247850",1340.89508280081,"-"
"Ankrd17","chr11_3360586_3392916",1340.81700261582,"+"
"Ankrd17","chr7_3290630_3293202",1340.4499317351,"+"
"Ephb2","chr7_143643404_143681459",1339.24930388869,"+"
"Phc3","chr14_19416633_19417570",1338.75477621168,"+"
"Rbm6","chr2_145911793_145912392",1338.64736946135,"+"
"Syncrip","chr11_50383920_50384643",1338.63272034304,"+"
"Samhd1","chr12_109544742_109546429",1337.24315184963,"-"
"Srrm1","chr5_136326938_136332623",1336.34278857072,"+"
"Ankrd17","chr14_70521130_70521316",1336.02745094688,"-"
"2610020H08Rik","chr12_112645084_112647824",1335.8737863033,"+"
"Rbm39","chr10_115220408_115221582",1335.22867426851,"+"
"G3bp2","chr14_19417483_19417601",1335.22455955238,"+"
"Tia1","chr3_129862150_129865340",1330.62969487262,"+"
"Sfpq","chr11_62552349_62552577",1328.45991222136,"-"
"Setd1b","chr3_94939828_94940047",1325.61215342334,"-"
"Hnrnpr","chr5_137900409_137905529",1324.76482462349,"+"
"Raver1","chr7_65693943_65695142",1324.34975276326,"+"
"Rc3h1","chr7_140112546_140116306",1324.04399536209,"+"
"Ankrd17","chr3_135455377_135458797",1323.96715270709,"+"
"2610020H08Rik","chr11_78969806_78971316",1323.80603330225,"-"
"Ppfia4","chr12_17301215_17307470",1323.65402784566,"+"
"Ppfibp2","chr9_107614715_107615611",1323.56982106397,"+"
"Spen","chr5_38529849_38529936",1322.76188276158,"-"
"Tia1","chr3_90614059_90614190",1321.82691846603,"-"
"Snrpd2","chr15_75048524_75111939",1320.51181890342,"+"
"Uhmk1","chr14_70531872_70532067",1318.90977356463,"-"
"Ankrd17","chr5_53051403_53058152",1318.59598676118,"-"
"Ephb2","chr2_126603985_126606359",1315.96232544407,"-"
"Ppfibp2","chr12_21279530_21286105",1315.27034794045,"+"
"Ppfibp1","chr12_103436682_103437675",1315.1178535781,"-"
"Rbm19","chr15_102488814_102489751",1314.21943205903,"+"
"Ankrd17","chr1_182124975_182131335",1313.68992901408,"+"
"Ascc1","chr11_78530347_78536085",1313.64492077343,"+"
"Ankrd17","chr11_116679990_116681858",1312.79501838422,"+"
"U2af2","chr14_75136642_75198076",1312.4710250974,"-"
"Raly","chr1_82735507_82747082",1312.28096697802,"+"
"Ephb2","chr6_115589394_115592273",1311.21033791775,"+"
"Raver1","chr16_90869689_90876038",1311.03961104548,"+"
"Uhmk1","chr4_152178340_152206763",1309.84961528708,"-"
"Phc3","chr16_36885188_36887238",1308.03707782077,"+"
"Rbm6","chr15_76247737_76247850",1306.79870313191,"-"
"Phc3","chr3_60501423_60595593",1303.55897867354,"-"
"Ankrd17","chr17_27564254_27564384",1303.36373945815,"+"
"Sfpq","chr10_80252433_80253659",1302.71480281669,"-"
"Ankrd17","chr12_56491058_56493200",1301.24997687009,"+"
"Ankrd17","chr8_13478374_13479006",1300.74551892941,"+"
"G3bp2","chr10_88344711_88345027",1298.46491427221,"-"
"Aco1","chr11_90672937_90673663",1298.42921235336,"-"
"Ephb2","chr8_78820085_78821047",1298.1302390049,"+"
"Rbm6","chr14_19416196_19418533",1297.75307071934,"+"
"Ppfibp2","chr11_116845945_116848253",1295.83326536097,"+"
"Snrpd2","chr12_56328799_56330228",1295.51358559416,"-"
"Hnrnpd","chr1_82741976_82747082",1294.95329935982,"+"
"Rod1","chr2_35282601_35283904",1294.56756717065,"-"
"Srrm1","chr14_19416196_19417834",1293.85220171485,"-"
"2610020H08Rik","chr15_74980131_74981885",1291.34392669351,"+"
"Ankrd17","chr6_34686074_34741788",1291.13304947923,"+"
"Rbm39","chr14_56083487_56085132",1290.00457462054,"-"
"Larp1b","chr14_51101703_51104806",1289.26030654502,"-"
"Rc3h1","chr10_75797130_75797679",1287.54158637432,"-"
"Srrm1","chr11_4703989_4704156",1286.33217926681,"-"
"Ppp1r9a","chr11_80391992_80394285",1283.88356199525,"-"
"Ephb2","chr14_19417569_19419672",1283.06022948913,"-"
"G3bp2","chr3_107986109_108044636",1282.13496130893,"-"
"Nab2","chr12_108113393_108157753",1279.76222257521,"+"
"Rbm6","chr7_127801246_127801460",1279.3288479869,"+"
"Ppp1r9a","chr16_45772275_45777712",1277.54252371492,"+"
"Ppfibp1","chr10_20479758_20505332",1277.3197361919,"+"
"Snrpd2","chr7_25465520_25466316",1276.81859692438,"-"
"Raver1","chr5_114369030_114370058",1276.66139706867,"-"
"Tia1","chr3_57748034_57764256",1274.16909726867,"+"
"Uhmk1","chr11_62552349_62552577",1273.9277524526,"-"
"Rbm6","chr5_138977227_138979145",1273.79784738968,"+"
"Ankrd17","chr8_84251711_84253862",1273.74352293231,"+"
"Ppfibp2","chr16_36886228_36887238",1273.58283676483,"+"
"Zc3h6","chr11_59204255_59204534",1272.79655979473,"+"
"Raver1","chr18_64515405_64516415",1272.4349984231,"-"
"G3bp2","chr3_94937899_94939645",1271.42574876631,"-"
"Ankrd17","chr17_24357991_24360887",1271.29601068611,"+"
"Ppfibp1","chr7_142439765_142439850",1271.07674515731,"+"
"Larp1b","chr13_4192435_4194033",1270.03471748791,"+"
"Srrm1","chr7_126625135_126625322",1269.00235250235,"+"
"Rc3h1","chr11_49663715_49664018",1268.53944294538,"-"
"Ppfia4","chr4_108170226_108172088",1268.16843041905,"+"
"Nab2","chr16_96397964_96421734",1267.95166576392,"-"
"Ankrd17","chr2_130696755_130697358",1267.36727254147,"+"
"Ankrd17","chr12_103442993_103443481",1266.71754886848,"+"
"Ankrd17","chr14_52004742_52004988",1266.43105827932,"+"
"Sfpq","chr15_36790988_36792378",1266.27350737804,"-"
