"RBP","AS_Site","Contribution","Direction"
"POLR2G","chr11_62763026_62765181",1400.619833,"+"
"GTF3A","chr13_27427192_27429869",1371.012519,"+"
"LSM1","chr8_38163840_38169801",1088.400643,"+"
"POLR2G","chr11_62761904_62762866",928.8189356,"+"
"LSM1","chr8_38172033_38176274",810.8452712,"+"
"RRP7A","chr22_42514779_42515150",798.4179683,"+"
"RBM5","chr3_50100051_50100531",616.0740788,"+"
"NOL8","chr9_92319356_92321667",595.9400303,"+"
"PPIE","chr1_39753052_39753286",586.8340898,"+"
"ZFP36","chr19_39406928_39407742",552.7303091,"+"
"ZFP36","chr19_39406928_39407742",546.2418816,"+"
"SAFB2","chr19_5613527_5616131",502.78139,"+"
"TROVE2","chr1_193069634_193075819",489.8007115,"+"
"FXR1","chr3_180970358_180976121",420.5985991,"+"
"RPS3","chr11_75399577_75400693",395.798888,"+"
"RBMS1","chr2_160281364_160284774",394.2229058,"+"
"FXR1","chr3_180970358_180976121",387.2389492,"+"
"SLTM","chr15_58898852_58899468",386.7461572,"+"
"TLR2","chr12_12071655_12079298",383.844629,"+"
"SLTM","chr6_11193692_11213280",374.1144409,"+"
"TLR2","chr3_127821838_127823083",373.774284,"+"
"ZFP36","chr17_7078113_7078770",369.7435979,"-"
"CCAR1","chr10_68737889_68740628",366.6608568,"+"
"SRRM1","chr1_24655129_24660718",358.1911586,"+"
"RBM5","chr3_50100605_50103082",354.5092644,"+"
"LSM3","chr12_9656697_9656920",353.6245372,"+"
"RNPS1","chr22_40156182_40246014",352.4695371,"+"
"ZNF638","chr2_71350271_71355718",349.4093193,"+"
"TROVE2","chr4_87007424_87046165",344.4469779,"+"
"YTHDF2","chr1_28738338_28742402",340.1496622,"+"
"LARP7","chr4_112637239_112644667",339.3679814,"+"
"RBM42","chr19_35631405_35632935",335.282721,"+"
"NOL8","chr17_75181188_75182381",332.4629755,"-"
"TLR2","chr19_50335181_50337016",329.8271308,"-"
"YTHDC2","chr5_113525177_113526585",329.174192,"+"
"LARP4B","chr20_62666575_62667744",328.0210321,"+"
"LSM7","chr6_6626421_6649629",327.5181596,"-"
"LARP7","chr4_82426129_82427189",325.3298601,"-"
"PABPC4","chr1_39563922_39564470",320.6593792,"+"
"PARP14","chr11_47565986_47571470",319.0528635,"+"
"HNRNPC","chr14_21211563_21211809",318.7927721,"-"
"PTBP2","chr2_131130760_131140166",318.4212459,"+"
"ZC3H13","chr19_54664849_54665132",315.8288688,"+"
"PABPN1","chr17_3669012_3669097",315.5198194,"+"
"GRSF1","chr15_99645764_99671519",315.2302701,"+"
"RBM3","chr2_222887888_222900673",315.0939471,"+"
"EIF3G","chr1_110894401_110897808",310.9107838,"-"
"PABPN1","chr18_63985245_63986873",310.5299352,"+"
"LARP4B","chr19_42302325_42302698",308.0386195,"+"
"PARP14","chr11_47565986_47571470",307.4827352,"+"
"TIPARP","chr6_32553966_32555482",306.1451076,"-"
"LARP7","chr4_82426129_82427189",303.8626099,"-"
"HNRNPA3","chr2_177212805_177215538",299.266962,"-"
"KRR1","chr7_96208977_96277195",299.033587,"+"
"TIPARP","chr6_32522021_32584225",298.3981066,"+"
"RBM5","chr17_28715122_28715218",296.6667911,"+"
"RBM14","chr11_66617057_66639699",295.3115551,"+"
"PABPC1","chr8_100703359_100704296",294.2627767,"+"
"PUF60","chr8_143821913_143824312",293.2919007,"+"
"ASCC1","chr11_10801087_10802048",292.6912333,"+"
"SFMBT2","chr6_125298816_125300537",292.6474639,"+"
"TAF15","chr20_50084254_50113106",290.8616521,"-"
"HNRNPH1","chr6_32517752_32518053",290.1297336,"+"
"HNRNPF","chr15_72200655_72203021",289.2394212,"-"
"SFPQ","chr1_35178036_35181134",287.8319585,"+"
"ZFP36","chr6_35587117_35597247",285.6734669,"-"
"PNO1","chr14_103335932_103336676",285.6568869,"-"
"ELAVL1","chr3_188225527_188406111",285.5228168,"+"
"PARP14","chr10_44982663_44983940",284.9655051,"-"
"ZFP36L1","chr5_177489832_177490869",284.9497673,"+"
"ENOX1","chr5_32531916_32588511",284.7045899,"-"
"RBM8A","chr18_3249443_3253232",284.5667746,"-"
"HNRNPH3","chr22_40951476_40964046",282.3699518,"-"
"ANKRD17","chr7_26190460_26191055",281.7112334,"-"
"MCTS1","chr17_27647118_27648835",281.6179512,"-"
"RC3H1","chr6_32756466_32758849",281.2239604,"-"
"POLR2G","chr1_36287270_36287476",279.7414881,"+"
"KRR1","chr9_37780880_37781985",279.3095778,"+"
"RBM42","chr6_166946739_166952487",278.0502454,"-"
"PUF60","chr8_143820716_143821596",277.5764211,"+"
"MCTS1","chr10_63215455_63217206",276.0699087,"-"
"KRR1","chr7_96208977_96277195",275.9894712,"+"
"SAFB","chr7_96208977_96234801",274.7871864,"+"
"PARP14","chr1_89057134_89116991",274.6540174,"-"
"LSM7","chr12_122981299_122981570",273.6616331,"+"
"HNRNPH1","chr6_32517752_32518053",271.3322366,"+"
"PARP14","chr2_85591864_85592947",271.0304368,"-"
"TIPARP","chr6_32660249_32661346",270.9444797,"+"
"TLR2","chr19_50335181_50337016",270.0839978,"-"
"PSPC1","chr16_53208709_53209481",269.043422,"+"
"SAMD4B","chr1_154261697_154263102",268.7556243,"+"
"RBM6","chr3_50061547_50061961",268.3350391,"+"
"ZFP36","chr17_7579726_7579890",267.8661728,"-"
"G3BP1","chr3_170136665_170171372",267.4985026,"+"
"TROVE2","chr19_19194133_19196965",267.1029002,"+"
"SFMBT2","chr6_125292909_125298713",265.9521037,"+"
"ZFP36L1","chr6_35672759_35688803",264.9275629,"-"
"RPS3","chr15_84670782_84687624",264.1774073,"-"
"ELAVL1","chr6_135492291_135497582",263.1549327,"+"
"ZC3H7A","chr4_75914338_75918760",262.8927059,"+"
"HNRNPK","chr14_55673012_55675834",262.5069471,"+"
"SSB","chr2_101992011_102009561",260.0984666,"-"
"SNRPG","chr15_32537006_32575916",259.9655736,"+"
"RBM17","chr3_72099011_72099903",259.7065444,"+"
