"RBP","AS_Site","Contribution","Direction"
"HNRNPC","chr15_44715701_44716328",141087.004497228,"+"
"RBM26","chr15_44715701_44716328",95396.6974469204,"+"
"SASH3","chr15_44715701_44716328",59850.9646664225,"+"
"PTBP1","chr15_44715701_44716328",50759.0452091767,"+"
"HNRNPH3","chr15_44715701_44716328",46567.6388190522,"+"
"MBNL1","chr15_44715701_44716328",30922.4942162232,"+"
"SSB","chr15_44715701_44716328",30046.6636198514,"+"
"RPS3","chr15_44715701_44716328",27368.8890175087,"+"
"RFTN1","chr15_44715701_44716328",23683.962090785,"+"
"EWSR1","chr22_29278216_29282389",9385.19048799816,"+"
"PUF60","chr8_143821913_143824312",9359.70019125524,"+"
"EIF4H","chr7_74189918_74194740",8831.82273537659,"+"
"LSM1","chr8_38163840_38169801",8788.53237520313,"+"
"RBM3","chr15_44715701_44716328",8627.85162043281,"+"
"NCBP2","chr3_196939432_196942425",8461.76217424177,"+"
"SAFB2","chr19_5613527_5616131",8380.16315077536,"+"
"CSDE1","chr1_114739890_114749820",8344.28629851288,"+"
"CCAR1","chr10_68737048_68737844",8002.44953233168,"+"
"HNRNPR","chr1_23323732_23333517",7992.09636664781,"+"
"CCAR1","chr10_68737889_68740628",7958.55030132433,"+"
"RALY","chr20_33994131_34031521",7824.40494625611,"+"
"ZC3H7B","chr15_44715701_44716328",7753.40126413588,"+"
"PPIE","chr1_39743924_39745374",7657.45735428067,"+"
"PPIE","chr1_39753052_39753286",7470.6764151397,"+"
"GTF3A","chr13_27430621_27432730",7338.20849597414,"+"
"RRP7A","chr22_42514779_42515150",7254.33394978095,"+"
"CCAR1","chr10_68755536_68756272",7241.23803250119,"+"
"CPSF6","chr12_69260197_69262372",7209.82768876635,"+"
"HNRNPM","chr19_8474244_8483157",7066.96561890179,"+"
"ZC3H13","chr13_46045516_46052403",7055.86785417366,"+"
"SAFB2","chr19_5610688_5611119",7031.61738548578,"+"
"RBM14","chr11_66617057_66624213",7005.23203720294,"+"
"CCAR1","chr10_68756483_68757293",6962.95199961666,"+"
"POLDIP3","chr22_42599793_42601969",6809.46270655292,"+"
"RBM23","chr14_22905453_22905605",6591.20342806058,"+"
"HNRNPD","chr4_82359639_82371527",6442.32118801501,"+"
"TRMT1","chr19_13112817_13112895",6237.52083273269,"+"
"NAA38","chr17_7856843_7857014",6104.55688490063,"+"
"RBM5","chr3_50103166_50104247",6050.57748259352,"+"
"PUM2","chr2_20256170_20258242",6030.86093011106,"+"
"SNRNP70","chr19_49101471_49104633",5994.31007141085,"+"
"YTHDC2","chr5_113515362_113524980",5984.22650650282,"+"
"TIA1","chr2_70216499_70216885",5949.93460441532,"+"
"HELZ","chr17_67149985_67151045",5948.62852492273,"+"
"RBM17","chr10_6112361_6113507",5887.93927808259,"+"
"PRPF3","chr1_150325881_150328319",5861.32078044821,"+"
"HNRNPA0","chr15_44715701_44716328",5846.23770980218,"+"
"TIA1","chr2_70227822_70229058",5806.56909948786,"+"
"RBMS1","chr2_160367391_160493288",5769.92522738211,"+"
"RBM6","chr3_49962685_49967469",5715.47339024075,"+"
"SAFB","chr19_5667164_5667346",5574.48313348696,"+"
"RBM23","chr14_22906368_22909482",5538.46933939212,"+"
"HNRNPR","chr15_44715701_44716328",5525.13526792241,"+"
"FXR1","chr3_180970358_180976121",5509.83128579097,"+"
"RRP7A","chr22_42514779_42576980",5486.7810252662,"-"
"RAVER1","chr15_44715701_44716328",5477.59603077795,"+"
"SRRM2","chr16_2768261_2768996",5466.43090318766,"+"
"SCML4","chr6_107749813_107772171",5356.03841427287,"+"
"NOL8","chr9_92324209_92325305",5351.02097683097,"+"
"PUM1","chr1_30945483_30950126",5303.20177474803,"+"
"SNRNP70","chr19_49107712_49107794",5281.59736943391,"+"
"RBMS1","chr2_160285044_160286968",5228.24060289272,"+"
"PNO1","chr15_44715701_44716328",5196.75479955771,"+"
"RBMS1","chr2_160285044_160286977",5184.24415637099,"+"
"ZNF638","chr2_71331865_71348752",5181.06723975096,"+"
"SRRM1","chr1_24660799_24661309",5157.73748610422,"+"
"RBM6","chr3_49975392_49999439",5149.37966639887,"+"
"ARAP2","chr4_36229645_36244178",5132.29755581641,"+"
"RBM42","chr19_35631405_35632935",5129.50338022954,"+"
"RBM23","chr14_22906368_22908332",4979.80711056167,"+"
"RBM7","chr11_114402915_114405705",4954.99252829918,"+"
"ZNF638","chr2_71331875_71348752",4922.47730958116,"+"
"HDLBP","chr2_241268541_241315569",4904.30836683333,"+"
"SGMS1","chr10_50344345_50433475",4862.92487994415,"+"
"SAFB","chr19_5657347_5661520",4643.1827065824,"+"
"CPSF7","chr11_61416519_61419948",4551.86547221743,"+"
"RBM25","chr14_73099750_73103191",4550.9223283139,"+"
"ANKRD17","chr4_73135265_73139530",4501.7390648271,"+"
"ARAP1","chr11_72714321_72721849",4498.48485328356,"+"
"CCAR1","chr10_68755536_68757293",4466.9952405417,"+"
"ZRANB2","chr1_71065137_71066775",4444.51250391099,"+"
"CCAR1","chr10_68755536_68757293",4401.90181294883,"+"
"PHC3","chr3_170178938_170181701",4399.77485765613,"+"
"DGKQ","chr15_44715701_44716328",4317.5032959519,"+"
"SAFB2","chr19_5610688_5612539",4291.62387707131,"+"
"YTHDC2","chr5_113515362_113532878",4288.69515416755,"+"
"SRRM1","chr1_24662804_24663182",4264.71862715501,"+"
"HNRNPH1","chr5_179616958_179617513",4234.5076925372,"-"
"NOL8","chr9_92324209_92325179",4178.57445309794,"+"
"PUM1","chr1_30945483_30950132",4178.55094911806,"+"
"ZC3HAV1","chr15_44715701_44716328",4161.75556451659,"+"
"RBM5","chr3_50100051_50103082",4125.48418875638,"+"
"ZC3H14","chr14_88609403_88609711",4121.5775415164,"+"
"RBM5","chr3_50100051_50100531",4069.35964671119,"+"
"HDLBP","chr2_241268541_241315101",4044.47910983815,"+"
"HNRNPAB","chr5_178209447_178210131",4040.82565475701,"+"
"HNRNPH1","chr5_179618323_179619268",4020.32212768094,"+"
"SRRM1","chr1_24662804_24666814",4005.28314830186,"+"
"ZMAT5","chr22_29748571_29766948",3952.24534200949,"+"
"U2AF1","chr21_43095743_43100452",3950.42540670995,"+"
"SRRM2","chr16_2759661_2760300",3937.65776484466,"+"
"FXR1","chr15_44715701_44716328",3935.88875606065,"+"
"SAFB","chr19_5667164_5667352",3917.31118206057,"+"
"TIA1","chr2_70227822_70228343",3916.86619721976,"+"
"ANKRD17","chr4_73135265_73141740",3915.85296720003,"+"
"SAFB","chr19_5657347_5661517",3909.76127174049,"+"
"SF1","chr11_64767251_64767570",3879.38423273747,"+"
"ZC3H14","chr14_88609403_88609714",3840.54528373268,"+"
"SRRT","chr7_100885040_100885212",3832.095470606,"+"
"RBM33","chr7_155707068_155711202",3820.25383177971,"+"
"RBM42","chr19_35631405_35633097",3801.76938167457,"+"
"RBM25","chr14_73099750_73100300",3777.37545300921,"+"
"EWSR1","chr22_29278216_29286922",3775.287884617,"-"
"EIF3B","chr7_2379511_2380203",3767.76010384466,"+"
"SCML4","chr6_107749813_107824125",3762.53643174245,"+"
"SLTM","chr15_58898852_58901259",3736.97182711871,"+"
"TEP1","chr14_20408463_20413370",3723.00198585215,"+"
"RBMS1","chr2_160367391_160407463",3718.60407512816,"+"
"SRRM2","chr16_2752846_2756333",3717.26034108537,"+"
"TRMT1","chr19_13112817_13112908",3714.34837401533,"+"
"PUM2","chr2_20256170_20258236",3679.51676344705,"+"
"ZNF638","chr2_71331865_71355718",3661.83182965386,"+"
"HNRNPAB","chr5_178209447_178210552",3620.44981802353,"+"
"MATR3","chr15_44715701_44716328",3606.09103586207,"+"
"ZNF638","chr2_71331875_71355718",3592.8693565491,"+"
"HNRNPH1","chr5_179623164_179623594",3551.49948920158,"+"
"RBM17","chr10_6113068_6113507",3545.58045901265,"+"
"PCBP1","chr12_56155198_56159974",3544.28095438702,"+"
"PCBP1","chr12_124912199_124913111",3540.94411627934,"-"
"CPSF6","chr12_69260197_69262369",3533.27919327261,"+"
"PRPF3","chr1_150325881_150327556",3513.24547182925,"+"
"RBM5","chr3_50103166_50105076",3512.27410029717,"+"
"RBM23","chr14_22905453_22906194",3500.91200657534,"+"
"ZMAT5","chr22_29748571_29766871",3499.96971869012,"+"
"CSDE1","chr1_114739890_114757924",3476.31006348024,"-"
"SAFB2","chr19_5613527_5616127",3476.0216953365,"+"
"SF1","chr11_64776626_64777986",3459.78115097191,"-"
"SCML4","chr6_107720993_107731973",3412.16172189778,"+"
"SRRM2","chr16_2769284_2769861",3399.05116370468,"+"
"TEP1","chr14_20408463_20413404",3372.62768285338,"+"
"NOL8","chr9_92324209_92325317",3357.40323548411,"+"
"RBM33","chr7_155707068_155711172",3335.2008915395,"+"
"SF1","chr11_64770408_64773429",3327.80191484235,"+"
"PPIE","chr1_39753052_39763688",3327.59287488922,"+"
"HNRNPD","chr4_82359639_82373445",3319.18995577293,"+"
"HNRNPA3","chr2_177219314_177222059",3317.1648010915,"+"
"PPIE","chr1_39743924_39745413",3306.85839726631,"+"
"CPSF7","chr11_61416519_61419921",3290.90715999994,"+"
"ARAP2","chr4_36229645_36243987",3282.07853545545,"+"
"POLDIP3","chr22_42599793_42602769",3238.12709408009,"+"
"NCBP2","chr3_196939432_196942369",3233.38981991756,"+"
"FXR1","chr3_180970358_180975312",3230.41803849094,"+"
"EIF3B","chr7_2379511_2380278",3225.93731161033,"+"
"LCP2","chr15_44715701_44716328",3222.09029924069,"+"
"SRRT","chr7_100887859_100888053",3215.59544699538,"+"
"SRRM2","chr16_2769284_2770351",3202.70319388345,"+"
"SGMS1","chr10_50344345_50418063",3195.05227331467,"+"
"NCL","chr15_44715701_44716328",3192.64993641988,"+"
"CCAR1","chr10_68737048_68740628",3191.01455336485,"+"
"SRRM2","chr16_2759661_2759746",3181.69550839598,"+"
"RBM7","chr11_114402915_114405708",3177.22213151458,"+"
"SRRM1","chr1_24660799_24661312",3173.83160077814,"+"
