"RBP","AS_Site","Contribution","Direction"
"GTF3A","chr13_27427192_27429869",27164.0962753644,"+"
"FUS","chr16_31184396_31184938",23994.0293554369,"+"
"SNRPC","chr6_34757954_34762594",22677.8509071295,"+"
"POLR2G","chr11_62763026_62765181",22108.1983331578,"+"
"RALY","chr20_34031604_34072065",20463.3469970151,"+"
"SNRPN","chr15_24962209_24967931",20344.5105134983,"+"
"EWSR1","chr22_29282557_29286922",19165.7391971904,"+"
"GTF3A","chr13_27424938_27427091",19012.1758066055,"+"
"LSM1","chr8_38163840_38169801",18897.5641190032,"+"
"SNRPN","chr15_24962209_24967931",18832.6758037989,"+"
"RPS3","chr6_31354526_31354632",18674.5610057578,"+"
"EWSR1","chr22_29278216_29282389",18132.2018237777,"+"
"PUF60","chr8_143821913_143824312",18074.6088190545,"+"
"SLBP","chr4_1700070_1703595",18053.6709983813,"+"
"HNRNPR","chr1_23333631_23337753",17344.4203236484,"+"
"LSM1","chr8_38169917_38171964",17199.6434953589,"+"
"CSDE1","chr1_114739890_114749820",17122.3791140717,"+"
"SAFB","chr19_5648043_5648988",16935.0092824644,"+"
"HNRNPR","chr1_23323732_23333517",16882.802377597,"+"
"U2AF1L4","chr19_35742803_35743808",16587.1540847181,"+"
"SLBP","chr4_1703700_1711873",16407.6453398721,"+"
"U2AF1L4","chr19_35742803_35743808",16353.5357722276,"+"
"NCBP2","chr3_196939432_196942425",16218.1572452384,"+"
"RALY","chr20_33994131_34031521",16094.5785684426,"+"
"CCAR1","chr10_68755536_68756272",15856.1599027246,"+"
"SYNCRIP","chr6_85640564_85641291",15769.3508398558,"+"
"EWSR1","chr22_29272431_29273740",15762.8498589557,"+"
"RBM14","chr11_66617057_66639699",15673.7245903061,"+"
"CPSF6","chr12_69257905_69258589",15662.8820417314,"+"
"G3BP2","chr4_75648741_75655065",15627.4142095287,"+"
"LARP7","chr4_112644871_112646350",15467.3590129666,"+"
"ZC3H13","chr13_46045516_46052403",15443.6386026774,"+"
"SAFB","chr19_5649499_5649925",15401.7185798698,"+"
"SAFB2","chr19_5613527_5616131",15400.4909973673,"+"
"CPSF6","chr12_69257905_69258589",15332.7000247944,"+"
"TIA1","chr2_70214494_70215370",15296.6598359226,"+"
"ZC3H13","chr13_46045516_46052403",15296.6519484639,"+"
"RBMS1","chr2_160281364_160284774",15258.5998526163,"+"
"SAMHD1","chr20_36935189_36941038",15232.8762932394,"+"
"SAMHD1","chr20_36935189_36941038",15204.967460426,"+"
"RBMS1","chr2_160281364_160284774",15053.0573260339,"+"
"RBM25","chr14_73099750_73103191",14897.4663312292,"+"
"CCAR1","chr10_68756483_68757293",14875.2198031134,"+"
"PUM2","chr2_20256170_20258242",14606.7886460835,"+"
