"RBP","AS_Site","Contribution","Direction"
"FUS","chr16_31184396_31184938",26049.1913999494,"+"
"HNRNPR","chr1_23333631_23337753",20688.95023562,"+"
"GTF3A","chr13_27424938_27427091",20257.6280086457,"+"
"RBM5","chr3_50103166_50104247",17617.6800103357,"+"
"NCBP2","chr3_196939432_196942425",17095.0750704712,"+"
"HNRNPA3","chr2_177212871_177215538",16049.3295393212,"+"
"SAMHD1","chr20_36935189_36941038",16012.9634672646,"+"
"SAFB2","chr19_5611630_5612539",16010.1615825207,"+"
"ZC3H13","chr13_46045516_46052403",15858.9181505095,"+"
"SRRM1","chr1_24655129_24660718",15593.7708404516,"+"
"FUS","chr16_31184390_31184938",15089.9769070404,"-"
"SNRPB2","chr20_16730164_16731667",14938.0158153669,"+"
"RBM25","chr14_73099750_73103191",14774.6246003188,"+"
"CSDE1","chr1_114736855_114737962",14604.2362809608,"+"
"GTF3A","chr13_27432804_27434138",14567.7269436878,"+"
"RBMS1","chr2_160367391_160493288",13975.6965171114,"+"
"SRRM1","chr1_24662804_24666814",13763.7072800813,"+"
"SFPQ","chr1_35176474_35177318",13726.1047555263,"+"
"HNRNPH1","chr5_179616958_179617050",13600.9545551365,"+"
"ZRANB2","chr1_71065137_71066775",13581.8792599426,"+"
"HNRNPM","chr19_8483211_8485602",13539.8045302564,"+"
"LSM7","chr19_2324196_2328386",13370.686960769,"+"
"ZNF638","chr2_71350271_71355718",13157.4355761995,"+"
"HNRNPC","chr14_21211566_21211809",12993.4083712984,"+"
"SCML4","chr6_107708011_107720702",12869.6513906703,"+"
"SRRM2","chr16_2752846_2756333",12869.4633957605,"+"
"RBM6","chr3_49975392_49999439",12805.2031026339,"+"
"PPIE","chr1_39738931_39740164",12803.3110895594,"+"
"SRRM1","chr1_24655123_24660718",12798.5746829393,"+"
"PSPC1","chr13_19677823_19730238",12743.7051165212,"+"
"ZC3H13","chr13_46045513_46052403",12658.4346872788,"+"
"TIA1","chr2_70216499_70216885",12443.0444265627,"+"
"PSPC1","chr13_19674984_19677723",12426.3131239414,"+"
"RBM5","chr3_50100051_50100531",12402.0529411244,"+"
"SLTM","chr15_58899937_58901259",12288.8836248646,"+"
"PUM1","chr1_30966278_30967166",12250.7885811872,"+"
"ZNF638","chr2_71331865_71348752",12199.5525688024,"+"
"PHC3","chr3_170178938_170181701",12136.3025313817,"+"
"SAMHD1","chr20_36917049_36919363",12012.2177093125,"+"
"TIA1","chr2_70227822_70229058",11910.4057724839,"+"
"HNRNPH1","chr5_179616958_179617513",11873.5778085022,"-"
"ZNF638","chr2_71331865_71355718",11864.8177373975,"+"
"U2AF1L4","chr19_35745187_35745347",11845.1035407132,"+"
"YTHDC2","chr5_113515362_113532878",11803.3902967732,"+"
"SFPQ","chr1_35184593_35187000",11800.9594104805,"+"
"TIA1","chr2_70227822_70229058",11742.1556768219,"+"
"PRPF3","chr1_150325881_150328319",11719.904413311,"+"
"RBM23","chr14_22906368_22909482",11715.2450377856,"+"
"RRP7A","chr22_42514779_42515150",11654.7895035005,"+"
"TIA1","chr2_70227822_70228343",11643.0292319627,"+"
"TIA1","chr2_70228462_70229058",11639.0129827813,"+"
"YTHDC2","chr5_113515362_113524980",11590.7486423727,"+"
"SRRM1","chr1_24663224_24666814",11565.1854400395,"+"
"ZNF638","chr2_71331865_71348752",11445.9292723094,"+"
"SSB","chr2_169798976_169800951",11442.4162677309,"+"
"PSPC1","chr13_19675653_19677723",11305.5183522639,"+"
"SCML4","chr6_107749813_107772171",11041.1545559423,"+"
"HDLBP","chr2_241268541_241315101",10690.8859788966,"+"
"RBM25","chr14_73100362_73103191",10487.8550600154,"+"
"RBMS1","chr2_160285044_160286977",10386.1974554335,"+"
"RBM5","chr3_50103166_50105076",10366.8021858452,"+"
"RBMS1","chr2_160285044_160286968",10306.3871456358,"+"
"ZRANB2","chr1_71065752_71066775",10273.074125312,"+"
"PSPC1","chr13_19709599_19730238",10246.1683754084,"+"
"RBM6","chr3_49975392_50048244",10200.0215818372,"+"
"PUM1","chr1_30980166_30981311",10198.7404729124,"+"
"RBM23","chr14_22908380_22909482",10006.8771662913,"+"
"PUM1","chr1_30980163_30981311",9989.10222449782,"+"
"SFPQ","chr1_35176471_35177318",9976.13609960511,"+"
"SLTM","chr15_58899883_58901259",9951.08434547628,"+"
"G3BP1","chr5_151772036_151786571",9942.67718538403,"+"
"HDLBP","chr2_241268541_241315569",9861.00491041362,"+"
"TRNAU1AP","chr1_28560732_28561345",9818.95090981241,"+"
"U2AF1L4","chr19_35745212_35745347",9818.31939243561,"+"
"RRP7A","chr22_42514779_42576980",9815.95641832146,"-"
"RFTN1","chr3_16303592_16337111",9745.01745241682,"-"
"HNRNPH1","chr5_179618323_179619268",9731.93018041153,"+"
"ACIN1","chr14_23090101_23090521",9575.848648098,"+"
"ZGPAT","chr20_63708188_63708552",9572.39550065914,"+"
"TRA2B","chr3_185926734_185937824",9472.71672792996,"+"
"PRPF3","chr1_150327652_150328319",9416.14157321217,"+"
"ZNF638","chr2_71331875_71348752",9395.70428275139,"+"
"ZGPAT","chr20_63708118_63708552",9283.56907455528,"+"
"SRRM2","chr16_2752854_2756333",9026.15317532777,"+"
"ZNF638","chr2_71331865_71355718",9019.69450894993,"+"
"PUM1","chr1_30966197_30967166",8914.95905912888,"+"
"ZNF638","chr2_71331875_71348752",8861.51906193619,"+"
"SCML4","chr6_107720993_107731973",8826.94204117663,"+"
"TIA1","chr2_70216499_70216752",8782.46487649138,"+"
"TRNAU1AP","chr1_28561260_28561345",8769.908230696,"+"
"ZNF638","chr2_71331875_71355718",8757.27330572517,"+"
"SLTM","chr15_58898852_58901259",8741.72791103184,"+"
"SAFB2","chr19_5610688_5612539",8585.26976485118,"+"
"TRA2B","chr3_185926734_185931576",8488.13531445449,"+"
"HNRNPD","chr4_82355401_82356795",8454.64658991029,"+"
"NCBP2","chr3_196939432_196942369",8289.19800055295,"+"
"ZMAT5","chr22_29748571_29766871",8108.7404964333,"+"
"U2AF1","chr21_43095743_43100452",8108.09391941041,"+"
"HNRNPA1","chr12_54282874_54283811",8057.44237424032,"+"
"HNRNPAB","chr5_178209447_178210131",8028.79097619794,"+"
"RBM12","chr20_35632923_35658929",7792.73877636777,"-"
"PTBP1","chr19_805569_806407",7713.59822856775,"+"
"ACIN1","chr14_23081836_23090521",7712.15605553897,"+"
"SCML4","chr6_107720993_107744948",7694.03859326379,"+"
"ZMAT5","chr22_29748571_29766948",7624.69972218065,"+"
"RBM5","chr3_50100051_50103082",7550.250433208,"+"
"RBMS1","chr2_160367391_160407463",7489.15987598174,"+"
"RNPS1","chr16_2264760_2268054",7467.61749486167,"+"
"SRRM1","chr1_24647208_24648858",7411.34259348568,"+"
"U2AF1","chr21_43100519_43104314",7267.49017372923,"+"
"HNRNPD","chr4_82355401_82356536",7266.62933385741,"+"
"G3BP1","chr5_151772036_151786602",7248.82894091757,"+"
"RNPS1","chr16_2264331_2268054",7211.29899855257,"+"
"TTC14","chr17_35323343_35324653",7161.53594368891,"-"
"HNRNPAB","chr5_178209447_178210552",7143.75040308226,"+"
"PTBP1","chr19_805187_806407",7135.11414379243,"+"
"LSM7","chr19_2324192_2328386",7107.12551299033,"+"
