RBP,AS_Site,Contribution,Direction
CCAR1,chr10_68754077_68754713,1138.412638,+
GTF3A,chr13_27430621_27432730,1077.634783,+
PAPSS1,chr4_107660072_107682014,943.4596718,+
TROVE2,chr1_193069634_193075819,916.6600903,+
HNRNPK,chr9_83974589_83975461,908.4116274,+
LSM1,chr8_38172033_38176274,632.7496138,+
RBM34,chr1_235135770_235136033,613.9351476,+
NIP7,chr16_69341320_69341532,580.407769,+
PUM2,chr2_20258371_20260336,552.0765492,+
RBM4,chr11_66638752_66639699,550.7849261,+
CCAR1,chr10_68755536_68756272,527.3037854,+
PTBP1,chr19_805187_805491,489.9960255,+
NOL8,chr9_92319356_92321667,482.5082857,+
EWSR1,chr11_73716362_73718784,456.9185241,+
NOL8,chr9_92310675_92311145,438.0511025,+
FUBP1,chr1_77967098_77967626,432.8557042,+
SAFB,chr19_5667164_5667346,421.0295357,+
PUF60,chr5_170788668_170794230,417.6173092,-
SRRM1,chr1_74706994_74707102,417.2078573,+
SFPQ,chr1_35184593_35187000,412.318807,+
MBNL1,chr3_152432920_152445281,396.902265,+
PSPC1,chr13_19709599_19730238,391.6337823,+
TIA1,chr2_70229091_70229263,389.3083436,+
PHC3,chr3_170136665_170145422,385.781763,+
ZC3H14,chr14_88603060_88607242,384.1356513,+
EEF1G,chr2_27772692_27779432,382.5582303,+
TRA2A,chr17_81891841_81894466,379.5769218,+
ESRP1,chr8_94674506_94678202,378.3951143,+
PRPF3,chr1_150325881_150328319,377.5940592,+
GTF3A,chr14_94383241_94390456,370.0170494,+
FUS,chr16_31182664_31183857,364.6484927,+
RBM23,chr14_22905659_22906194,364.6048131,+
FXR1,chr3_180970358_180976121,361.993326,+
KIN,chr8_69493125_69501873,361.8037918,+
KIN,chr17_16440253_16441367,357.4647776,+
APTX,chr9_32988129_32989758,357.3035152,+
RBM6,chr3_50061748_50061961,353.0481148,+
FXR1,chr3_180970358_180976121,350.7284645,+
LARP1B,chr4_128091512_128098185,347.0598328,+
LSM4,chr5_71483896_71486483,345.8483894,+
RBM4,chr11_66640123_66646026,344.0637644,+
HNRNPF,chr10_43396590_43409130,344.0507243,+
SRRM1,chr1_24662804_24666814,341.2907269,+
ZFR,chr5_32379210_32380074,339.5603284,+
ESRP1,chr8_94696961_94705924,336.0579988,+
CIRBP,chr1_167773368_167787819,328.5459619,+
ANKHD1,chr1_168004793_168043024,325.2147631,+
G3BP2,chr1_155668777_155670319,317.1239782,+
SRRM1,chr1_24655129_24660718,313.3262703,+
HNRNPA0,chr1_228109021_228109260,311.6856633,+
SAMD12,chr1_45519054_45522777,310.8080069,+
MBNL1,chr3_152415111_152432716,309.7816245,+
NONO,chr16_66552793_66563121,309.7273617,+
TNKS2,chr3_157153156_157157010,309.0244943,+
MBNL2,chr12_27969516_27970024,307.6172525,+
KIN,chr4_53399839_53425871,306.4297696,+
CCAR1,chr15_79899125_79970699,306.327674,+
YBX1,chr16_635340_636093,303.0687821,+
PNPT1,chr15_48331479_48332267,302.1085837,+
TRA2B,chr3_185926734_185937824,299.1195855,+
SNRPG,chr2_197516146_197523623,298.3022494,+
PPP1R9A,chr6_30741867_30742146,296.468592,+
CCAR1,chr15_79899125_79970699,295.9233541,+
PAN3,chr17_81891833_81894466,295.0439334,+
RALY,chr20_34073635_34075873,294.9388511,+
PPIE,chr1_39738931_39740164,293.7948347,+
IREB2,chr9_21971208_21974677,293.0372995,+
