RBP,AS_Site,Contribution,Direction
LSM2,chr6_31798507_31806754,510.1583068,-
SNRPN,chr15_24962209_24967931,485.1810696,+
POLR2G,chr11_62761904_62762866,464.5599724,+
U2AF1L4,chr19_35745187_35745347,457.4349944,+
SNRPD3,chr22_24568176_24571915,446.2338268,+
SNRPD3,chr22_24557800_24567983,440.7288641,+
SCMH1,chr1_41028726_41037361,434.8934709,+
SCMH1,chr1_41028726_41037361,427.6446606,+
GTF3A,chr13_27427192_27429869,418.0706878,+
POLR2G,chr2_97202230_97209799,393.8263253,+
SSB,chr2_169805577_169805664,381.9012303,+
GTF3A,chr13_27430621_27432730,380.2538392,+
CNOT4,chr6_135492291_135495813,379.9584653,+
U2AF1L4,chr7_107901817_107903477,359.9497,-
U2AF1L4,chr19_35745212_35745347,358.0453462,+
ZMAT5,chr22_29748571_29766871,357.5106411,+
SFPQ,chr3_138187599_138188400,350.2012301,+
SYNCRIP,chr6_85637143_85640220,349.9311636,-
MBNL2,chr13_97356849_97357481,340.2985843,+
PRR3,chr3_167734345_167734805,334.0742178,-
BICC1,chr5_88823927_88882954,331.1700705,+
SAMD4A,chr2_30147062_30156627,326.3872584,+
RNPC3,chr10_73819645_73821681,325.8595784,+
SAMD8,chr10_75111722_75150513,325.3904851,+
SAMD8,chr10_75111778_75150513,318.3072284,+
THUMPD3,chr1_117929924_117933287,317.713814,+
GTF3A,chr1_19597109_19617257,317.2315144,-
ZC3H12C,chr6_20535199_20535350,316.8307254,+
MCTS1,chr5_43307824_43313355,314.4596149,+
RBM4B,chr8_80003120_80030035,312.4558599,-
PRR3,chr6_30561508_30561833,312.2998791,+
PAN3,chr12_104019676_104049894,309.5414241,+
RNPS1,chr6_36494637_36496710,308.9527687,+
SYNCRIP,chr6_85640564_85642796,305.310205,-
GTF3A,chr13_27432804_27434138,304.4003381,+
LSM3,chr1_75724817_75732643,303.5254696,-
LSM3,chr8_63017630_63023906,303.4484034,+
LSM3,chr8_63017630_63023906,301.1500726,+
RBM28,chr13_31141259_31145562,299.525743,-
APTX,chr19_11345628_11346007,297.0495194,+
LSM3,chr8_63023997_63024079,296.5010246,+
TIPARP,chr17_17254945_17261965,296.121491,-
RBM14,chr4_173332995_173333117,293.8879193,-
HTATSF1,chr7_151491014_151498088,293.7992678,-
ZC3H13,chr13_46045516_46051931,293.5778033,+
NOL8,chr8_124523002_124538927,292.7763122,-
U2AF1L4,chr7_107901817_107903477,292.4020318,-
SART3,chr8_73688813_73746782,291.3995799,-
NONO,chr22_35262421_35263077,289.64784,+
ZC3H4,chr11_57742227_57742862,288.6869689,-
ZNF638,chr19_36005437_36008553,288.3175167,+
LSM5,chr4_55609179_55630401,288.3169249,-
CNOT4,chr7_135363186_135393917,287.2394089,+
CNKSR1,chr9_90865097_90867130,286.8814952,+
PRR3,chr6_30557450_30561833,286.6134438,+
CIRBP,chr8_100270013_100287500,286.2419267,-
SAFB,chr13_49110406_49114654,285.2734544,+
CSTF2,chr19_47169923_47203670,283.6161068,-
ZC3H13,chr13_46045516_46051931,283.3625993,+
GRSF1,chr2_58046821_58048826,283.2558242,+
RBM15,chr1_113905775_113908008,282.0362112,+
