"RBP","AS_Site","Contribution","Direction"
"GTF3A","chr13_27427192_27429869",3836.63333467678,"+"
"GTF3A","chr13_27427192_27429869",3835.34735419994,"+"
"POLR2G","chr11_62763026_62765181",3703.34357465142,"+"
"SNRPN","chr15_24974456_24975357",3412.47290637585,"+"
"GTF3A","chr13_27424938_27427091",3178.89679007204,"+"
"SNRPN","chr15_24962209_24967931",3045.1208532153,"+"
"HNRNPR","chr1_23323732_23333517",2801.99106260495,"+"
"HNRNPR","chr1_23323732_23333517",2754.29793366322,"+"
"HNRNPR","chr1_23321663_23323555",2733.71334104246,"+"
"ZFP36L1","chr14_68790492_68792881",2733.1791266931,"+"
"RALY","chr20_34031604_34072065",2658.3343517524,"+"
"CSDE1","chr1_114720717_114723882",2636.87365787584,"+"
"EWSR1","chr22_29282557_29286922",2625.96935241299,"+"
"POLR2G","chr11_62761904_62762866",2620.0208620816,"+"
"HNRNPR","chr1_23333631_23337753",2596.02155095187,"+"
"EWSR1","chr22_29278216_29282389",2586.22122955503,"+"
"SNRPN","chr15_24968082_24974310",2583.68002730808,"+"
"RALY","chr20_34031604_34072065",2555.54659539005,"+"
"HNRNPK","chr9_83970819_83970896",2457.76938999098,"+"
"EWSR1","chr22_29287134_29288605",2400.76702967122,"+"
"GTF3A","chr13_27432804_27434138",2390.29899518839,"+"
"GTF3A","chr13_27430621_27432730",2379.26703198685,"+"
"LARP7","chr4_112646671_112646790",2296.15636991333,"+"
"HNRNPM","chr19_8455574_8462528",2265.34695791932,"+"
"HNRNPM","chr19_8462581_8463496",2250.14552794759,"+"
"LARP7","chr4_112644871_112646350",2204.24563390907,"+"
"PUF60","chr8_143821913_143824312",2184.472740709,"+"
"PPIE","chr1_39745498_39748902",2142.58006986617,"+"
"PPIE","chr1_39753052_39753286",2112.58043028724,"+"
"YTHDF2","chr1_28738338_28742402",2087.38442130219,"+"
"HNRNPM","chr19_8471427_8473663",2038.10750119703,"+"
"PPIE","chr1_39743924_39745374",1977.73203949433,"+"
"LSM1","chr8_38163840_38169801",1938.28542498935,"+"
"LSM1","chr8_38169917_38171964",1936.78925137563,"+"
"SAFB2","chr19_5613527_5616131",1916.79268147286,"+"
"RRP7A","chr22_42514779_42515150",1905.68770577852,"+"
"SNRPG","chr2_70289372_70293617",1886.8715907805,"+"
"HNRNPM","chr19_8483211_8485602",1825.92363899108,"+"
"EIF4H","chr7_74189918_74194740",1815.0413959618,"+"
"RRP7A","chr22_42515268_42516010",1809.51644130806,"+"
"EIF4H","chr7_74189918_74194740",1780.04714667628,"+"
"HNRNPA1","chr12_54282874_54283811",1778.16341457404,"+"
"CCAR1","chr10_68737889_68740628",1774.24078039875,"+"
"ZCCHC17","chr1_31310164_31319108",1755.18002108838,"+"
"SYNCRIP","chr6_85640564_85641291",1727.68376398682,"+"
"HNRNPH1","chr5_179617110_179617513",1711.35406521809,"+"
"ZCCHC17","chr1_31310164_31319108",1706.02288805722,"+"
"CCAR1","chr10_68737048_68737844",1696.34321417899,"+"
"CCAR1","chr10_68754077_68754713",1684.13839929749,"+"
"HNRNPA1","chr12_54282874_54283811",1664.30010922756,"+"
"HNRNPA3","chr2_177212871_177215538",1647.32116383022,"+"
"RBM42","chr19_35631405_35632935",1618.25664230831,"+"
"RBM17","chr10_6112361_6113507",1597.88224688762,"+"
"NOL8","chr9_92321746_92323440",1595.30041840894,"+"
"RPS3","chr11_75399577_75400693",1591.21545482595,"+"
"NOL8","chr9_92321746_92323440",1585.04030834636,"+"
"RRP7A","chr22_42518147_42519713",1574.35920715334,"+"
"SYNCRIP","chr6_85641451_85642796",1567.37064361868,"+"
"SLBP","chr4_1700070_1703595",1565.79425397625,"+"
"TAF15","chr17_35820248_35820331",1520.54593372536,"+"
"CCAR1","chr10_68755536_68756272",1501.13214566131,"+"
"PCBP2","chr12_53465973_53467220",1490.90166036928,"+"
"SAFB","chr19_5648043_5648988",1471.33095342368,"+"
"TIA1","chr2_70214494_70215370",1456.73483102387,"+"
