Site,PTR40-0913,PTC70-0617,TTH47-20171120,TTY70-20170706,TTR83-1202,NTH71-0913,PTS52-0729,PD10_ZZM_TTC33-20170512,TTC1-20171208,TTC92-0729,TTR156-0913,TTR168-0913,TTR47-0617,TTR102-0913,NTC34-1010,PTH38-20171219,TTY31-0913,PTC20-20171120,TTY21-20170706,NTH11-20171219,TTY65-1011,TTH23-0616P,TTH102-20171120,TTC160-0617,PTR53-0616A,PTH23-0729,TTC21-20170706,PTR62-1011,TTC176-0617,TTY21-0616A,NTH-30-0617,TTR43-1010,NTC55-1202,PD10_ZZM_TTH4-0616A,PTR57-1010,NTS33-0729,TTR12-0617,TTH80-0913,TTR61-0617,PTR45-1011,PTC19-1010,TTC70-1202,PD10_ZZM_LNTC34-0512,TTC150-0616A,NTC15-0913,TTC267-1011,PTH66-0729,PD10_ZZM_TTC9-20170512,NTC81-0729,TTY42-20171120,PTC40-20171120,NTS-49-0617,NTC5-1010,TTR133-0616A,TTY91-1202,NTY56-1202,TTH149-0913,PTY2-20171120,PTH81-0913,TTR108-1010,TTC51-0913,PD10_ZZM_PTC68-20171208,NTH94-0729,PTC78-0913,PTS74-0729,TTH96-20171120,TTS56-0617,PTR108-0617,PTH6-20171120,PTC91-20171120,TTC145-0729,PTR56-0913,PTS25-0729,TTR20-0617,TTC30-20171219,PTC31-1010,TTR78-0617,PTC49-0913,TTC157-20171120,TTR48-1010,start,end
10_100499598_100502253,,,,,,,,,,,69.0,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_100499598,10_100502253
10_100500159_100502253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,10_100500159,10_100502253
10_100508048_100509006,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,10_100508048,10_100509006
10_100508051_100509006,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,10_100508051,10_100509006
10_100523929_100526398,45.0,,198.0,37.0,,16.0,21.0,,,24.0,,24.0,,,,,,65.0,15.0,,128.0,,68.0,,67.0,,,64.0,,43.0,12.0,73.0,,69.0,,,,,,45.0,,65.0,,,,136.0,,,,,47.0,,,,11.0,87.0,,80.0,216.0,84.0,136.0,,,97.0,,,,20.0,86.0,19.0,47.0,99.0,,,,,,,184.0,123.0,10_100523929,10_100526398
10_100516960_100526398,,,,,,,,,,,35.0,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,10_100516960,10_100526398
10_101793998_101797979,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,37.0,,,,,,,10_101793998,10_101797979
10_101792943_101797979,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_101792943,10_101797979
10_102159308_102159432,,,,,,,,,,,46.0,,,,46.0,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,34.0,,,,56.0,,,,,,,,,,,,,,,,,,,,52.0,,32.0,10_102159308,10_102159432
10_102159338_102159432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_102159338,10_102159432
10_103105381_103105705,,,,,47.0,,,,,,,,,,25.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_103105381,10_103105705
10_103101326_103105705,,,,,,12.0,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_103101326,10_103105705
10_103450099_103451082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_103450099,10_103451082
10_103450800_103451082,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,10_103450800,10_103451082
10_103451182_103452155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,15.0,,,,,,,,,,42.0,,,,,61.0,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,10_103451182,10_103452155
10_103451285_103452155,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_103451285,10_103452155
10_1043393_1048863,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,17.0,,,,,,,,,,,,11.0,,,,,,,44.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,10.0,10_1043393,10_1048863
10_1044171_1048863,,,,,,,,,,,,,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10_1044171,10_1048863
10_110008299_110100624,48.0,,,,,,,,,,,,,,,,,,,,12.0,,,,166.0,,,,,14.0,,,,,,,,,,,38.0,27.0,,49.0,,,,,,12.0,,10.0,9.0,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,10_110008299,10_110100624
10_110079297_110100624,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,65.0,,17.0,,,,,,,,,,,10_110079297,10_110100624
10_110077118_110100624,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,16.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,10_110077118,10_110100624
10_110008982_110100624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_110008982,10_110100624
10_110116410_110117341,43.0,11.0,,,,,,,,,,24.0,,,42.0,,,,,,59.0,,,,394.0,,,76.0,,55.0,,,,,,,,,,,81.0,49.0,,72.0,,,,,,44.0,,20.0,129.0,,,,,,46.0,,,,,118.0,,,,82.0,32.0,15.0,,16.0,,,,,,113.0,,,10_110116410,10_110117341
10_110112915_110117341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_110112915,10_110117341
10_110876070_110881232,53.0,,,,,38.0,,,,,27.0,,,,,,37.0,,,,,26.0,13.0,69.0,70.0,,55.0,,,,,2.0,,83.0,,,47.0,71.0,,,45.0,,,,,75.0,,,,,64.0,,,63.0,,,,,,61.0,,,,41.0,10.0,,,,,,,,,,124.0,,,,,57.0,10_110876070,10_110881232
10_110872018_110881232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_110872018,10_110881232
10_110876753_110881232,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,59.0,66.0,,,,,,,,,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,10_110876753,10_110881232
10_112376448_112394917,,,29.0,,,,,,,,,,,,,,47.0,,22.0,,,,,,80.0,,,,,,,,,,,,18.0,,,,,,,,,123.0,,17.0,,,,,,,,,54.0,,19.0,26.0,,75.0,,,,,,,,,,,11.0,,45.0,,,,,,10_112376448,10_112394917
10_112375542_112394917,,32.0,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,10_112375542,10_112394917
10_11217507_11249152,,62.0,,15.0,,,,67.0,,,,67.0,35.0,17.0,141.0,20.0,,,,,99.0,104.0,,254.0,70.0,,,,,17.0,12.0,46.0,1.0,,77.0,,35.0,,,21.0,,78.0,,,,,,,,76.0,72.0,11.0,123.0,,60.0,69.0,35.0,,,59.0,121.0,,,,,70.0,,32.0,107.0,,,,,17.0,,,82.0,,,,10_11217507,10_11249152
10_11165682_11249152,,,,,,,,,20.0,,,,,,30.0,,,,,,,,,,,,,40.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,10.0,,,38.0,,,,,,,,,,,,,10_11165682,10_11249152
10_11257872_11270665,,,,,,,,,16.0,,,31.0,40.0,,,14.0,,,11.0,,,,,,54.0,,,33.0,,,,57.0,,,,,24.0,,,,,60.0,,,,,,,,35.0,,,,,24.0,68.0,11.0,,,2.0,1.0,,,,,,,78.0,,,,,,8.0,,,,,,,10_11257872,10_11270665
10_11266677_11270665,,,,,,,,58.0,,,,79.0,,15.0,80.0,,,,,,61.0,65.0,,14.0,,,,,,,,,,,,,11.0,,,18.0,,14.0,,,,,,,,17.0,101.0,,52.0,,47.0,,27.0,,,51.0,121.0,,,,,68.0,,,96.0,,,,,9.0,,,76.0,,,,10_11266677,10_11270665
