"RBP","AS_Site","Contribution","Direction"
"RPS3","chr11_75402446_75404019",3054.72976163279,"+"
"POLR2G","chr11_62763026_62765181",2788.89516828029,"+"
"RPS3","chr11_75401733_75402351",2678.23579460006,"+"
"GTF3A","chr13_27432804_27434138",2534.58011322922,"+"
"GTF3A","chr13_27430621_27432730",2363.81194024647,"+"
"SNRPG","chr2_70289372_70293617",2325.01902834443,"+"
"GTF3A","chr13_27427192_27429869",2278.4388313088,"+"
"RPS3","chr11_75400824_75401639",2259.00674949435,"+"
"SNRPG","chr2_70288192_70289349",2038.34945721561,"+"
"TIPARP","chr3_156678614_156694019",1996.09831039714,"+"
"SNRPG","chr2_70289372_70293617",1842.1713877254,"+"
"POLR2G","chr11_62761904_62762866",1806.87167185764,"+"
"HNRNPR","chr1_23333631_23337753",1766.68448913179,"+"
"LARP7","chr4_112644871_112646350",1692.5773755713,"+"
"PABPC1","chr8_100705056_100705588",1688.10102686818,"+"
"PABPC1","chr8_100704390_100704925",1657.95303076575,"+"
"SLTM","chr15_58894582_58897114",1607.6947745795,"+"
"PABPC4","chr1_39564542_39564685",1601.74382495011,"+"
"ZC3H15","chr2_186502587_186504031",1575.01748125227,"+"
"RRP7A","chr22_42514779_42515150",1565.79910657856,"+"
"U2AF1L4","chr19_35743904_35744069",1561.76245758961,"+"
"NAA38","chr17_7856843_7857014",1552.87052929023,"+"
"LSM1","chr8_38163840_38169801",1520.77063099657,"+"
"LSM1","chr8_38169917_38171964",1489.73399337012,"+"
"U2AF1L4","chr19_35742803_35743808",1454.9757473894,"+"
"U2AF1L4","chr19_35742803_35743808",1451.01925468543,"+"
"RBM17","chr10_6112361_6113507",1435.3539929155,"+"
"LSM7","chr19_2324196_2328386",1426.00289140068,"+"
"PABPC4","chr1_39564773_39565105",1378.6004985686,"+"
"SLTM","chr15_58898852_58899468",1311.82735177385,"+"
"CIRBP","chr19_1272051_1274306",1311.04413032375,"+"
"YTHDC1","chr4_68337900_68338282",1306.58903817865,"+"
"LARP4","chr12_50429090_50430494",1301.55216227066,"+"
"EIF4B","chr12_53034709_53037408",1283.04010933729,"+"
"EWSR1","chr22_29291599_29292136",1267.04421303837,"+"
"HNRNPR","chr1_23318688_23321527",1262.09179070239,"+"
"ASCC1","chr10_72216138_72223887",1254.13723883912,"+"
"EWSR1","chr22_29272431_29273740",1246.71971742381,"+"
"SAFB2","chr19_5613527_5616131",1245.0780627988,"+"
"NOL8","chr9_92319356_92321667",1244.11690254,"+"
"NOL8","chr9_92321746_92323440",1233.69365463521,"+"
"RBMS1","chr2_160281364_160284774",1222.1843684452,"+"
"ANKHD1","chr5_140539083_140539358",1218.81542561316,"+"
"HNRNPM","chr19_8462581_8463496",1208.14871464206,"+"
"HNRNPM","chr19_8455574_8462528",1184.0462646943,"+"
"HNRNPAB","chr5_178210272_178210552",1182.4469896622,"+"
"YTHDF2","chr1_28743986_28768928",1173.72771784104,"+"
"GTF3A","chr13_27435893_27437115",1172.97115278523,"+"
"SLTM","chr15_58894193_58894432",1165.97993664314,"+"
"RBM4","chr11_66644140_66646026",1145.83146161684,"+"
"PCBP2","chr12_53464852_53465931",1133.48997181857,"+"
"RBMS1","chr2_160281364_160284774",1132.34641794525,"+"
"CIRBP","chr19_1270882_1270927",1131.02306682671,"-"
"TIAL1","chr10_119576750_119577079",1125.67540233833,"+"
"ANKHD1","chr5_140497278_140504820",1123.93044285795,"+"
"PABPC4","chr1_39563922_39564470",1087.56973889637,"+"
"PPIE","chr1_39753052_39753286",1082.10654464879,"+"
"KIN","chr10_7780307_7783080",1058.4884239789,"+"
"NAA38","chr17_7857198_7857382",1056.4240319401,"+"
"TIAL1","chr10_119576750_119577079",1046.56067161903,"+"
"NOL8","chr9_92321746_92323440",1042.15350697077,"+"
"YTHDC2","chr5_113515362_113524980",1041.16251680023,"+"
"SAFB2","chr19_5610688_5612539",1032.43592021428,"+"
"MBNL1","chr3_152300367_152301918",1029.38374570885,"+"
"HNRNPH3","chr10_68338687_68339139",1023.35035503863,"+"
"RNPS1","chr16_2264331_2264572",1018.83991121422,"+"
"SAFB2","chr19_5610688_5612539",1018.59536897247,"+"
"HNRNPR","chr1_23338608_23344210",1002.97619281423,"+"
"PABPC4","chr1_39563922_39564422",992.086093057378,"+"
"HNRNPH1","chr5_179614959_179615545",981.710293232942,"+"
"YTHDC2","chr5_113526785_113532878",972.498022725169,"+"
"SNRPB2","chr20_16730164_16731667",970.450435178208,"+"
"EIF4H","chr7_74189918_74194740",964.744814515357,"+"
"EIF4H","chr7_74189918_74194740",962.29154201134,"+"
"HNRNPD","chr4_82355401_82356795",960.355671409527,"+"
"SAFB","chr19_5667164_5667346",960.076742636087,"+"
"SFPQ","chr19_43649143_43655438",954.946970505445,"-"
"CCAR1","chr10_68754077_68754713",938.597668543667,"+"
"LARP7","chr4_112637239_112644667",927.143706484752,"+"
"HNRNPM","chr19_8474244_8483157",923.87044058383,"+"
"ANKHD1","chr5_140538261_140538918",915.436228019215,"+"
"HNRNPD","chr4_82355401_82356795",894.833525978719,"+"
"EIF3B","chr7_2379511_2380203",892.878410233496,"+"
"ACIN1","chr14_23081836_23090521",890.812942484803,"+"
"HNRNPM","chr19_8483211_8485602",880.485290896891,"+"
"FXR1","chr3_180970358_180976121",874.841601697348,"+"
"SRRM1","chr1_24655129_24660718",873.809288366636,"+"
"HNRNPK","chr9_83973399_83973901",872.5156643653,"+"
"TLR2","chr4_153688047_153702891",871.412206775815,"+"
"ZC3H13","chr13_46045516_46052403",867.468804115603,"+"
"SRRM1","chr1_24660799_24661309",865.890989263507,"+"
"HNRNPK","chr9_83973973_83974516",865.19813900117,"+"
"ZNF638","chr2_71350271_71355718",859.731560203481,"+"
"YTHDC2","chr5_113515362_113532878",859.510202752363,"+"
"HNRNPAB","chr5_178209447_178210552",844.297102254642,"+"
"SLTM","chr15_58899937_58901259",843.90121781619,"+"
"RBM4","chr11_66640123_66643449",842.250184450645,"+"
"FXR1","chr3_180970358_180976121",838.155292000884,"+"
"HNRNPA1","chr1_182818859_182822114",836.10116150798,"+"
"TROVE2","chr1_193069634_193075819",828.953885944404,"+"
"KIN","chr10_7783175_7787819",824.882223862372,"+"
"FUBP1","chr1_77967098_77967626",821.039205405007,"+"
"ZC3H13","chr13_46045516_46052403",815.628818090868,"+"
"PABPC4","chr1_39563922_39564422",807.595682592146,"+"
"ACIN1","chr14_23081836_23090521",801.429459433617,"+"
"TLR2","chr9_72357056_72360109",798.338072327484,"-"
"HNRNPH3","chr10_68337333_68338502",794.991995296737,"+"
"HNRNPD","chr4_82355401_82356536",793.761524847225,"+"
"SAFB2","chr19_5611630_5612539",793.303219090458,"+"
"CIRBP","chr19_1269410_1270927",789.016042195028,"+"
"HNRNPR","chr1_23338608_23344210",787.063624086208,"+"
"RALY","chr20_34073635_34073818",784.442446403094,"+"
"ZFP36L1","chr17_36211890_36212333",781.277596155734,"-"
"HNRNPAB","chr5_178209447_178210552",777.071828550753,"+"
"RALY","chr20_34073866_34075873",772.396270760759,"+"
"FUS","chr16_31182664_31183857",771.98512019766,"+"
"SFPQ","chr1_35184593_35187000",767.274553906075,"+"
"FUS","chr16_31185179_31186801",766.899470704247,"+"
"HNRNPH3","chr10_68332216_68337198",762.610636277072,"+"
"PARP10","chr1_173914919_173917218",755.975210490119,"+"
"MKRN1","chr17_27643620_27645313",752.238885481978,"-"
"RBM25","chr14_73099750_73103191",746.723621377171,"+"
"SNRPG","chr2_70289372_70293616",746.020902098744,"-"
"TRA2B","chr3_185926734_185931576",744.023436231212,"+"
"EIF4B","chr6_136261477_136268161",740.631666939081,"+"
"HNRNPA3","chr2_177212871_177215538",740.276285691555,"+"
"HNRNPH3","chr10_68337996_68338502",736.007900743893,"+"
"HDLBP","chr2_241268541_241315569",734.782609676183,"+"
"PARP14","chr3_122701635_122703741",731.735563616171,"+"
"YTHDC1","chr22_21614665_21621514",731.193935917052,"+"
"PARP14","chr8_143018586_143020887",730.856616220075,"-"
"YTHDC2","chr5_113515362_113532878",730.766443183397,"+"
"FUS","chr16_31186836_31188324",730.534456268006,"+"
"SAFB","chr19_5649499_5649925",728.683666746526,"+"
"ANKHD1","chr5_140487060_140496519",728.606729146364,"+"
"HNRNPH1","chr12_102852950_102855135",728.038740981086,"+"
"HNRNPH3","chr10_68337333_68337857",726.378141033259,"+"
"HNRNPD","chr4_82356683_82356795",723.174136187821,"+"
"EIF4B","chr6_136261477_136268161",721.6982627716,"+"
"RBM42","chr19_35631405_35632935",715.847368578771,"+"
"TIPARP","chr6_32518666_32520163",712.70423668906,"+"
"TRA2B","chr3_185931852_185937824",712.190306409859,"+"
"EIF2S1","chr12_113394016_113398514",712.146148681294,"-"
"KRR1","chr2_32301495_32307103",711.148138822647,"+"
